Timestamp,Barcode,Representation indicators from cover and summary,Language
10/13/2023 13:07:56,30007110002341,Animals and/or mythical creatures,English
10/13/2023 13:08:28,30405020001389,,English
10/13/2023 13:08:58,3007110002771,,English
10/13/2023 13:09:35,30007110005275,"AAPI, india",English
10/13/2023 13:10:26,30405011905739,"Race/Ethnicity, AAPI, china",English
10/13/2023 13:10:45,30405013045799,"Race/Ethnicity, AAPI, china",English
10/13/2023 13:11:23,30007060114617,"Race/Ethnicity, Economic Welfare, AAPI, china",English
10/13/2023 13:11:41,3000706040719,Animals and/or mythical creatures,English
10/13/2023 13:12:18,30007060407557,"Race/Ethnicity, AAPI, india",English
10/13/2023 13:17:20,30007060407888,,English
10/13/2023 13:17:54,30007060407870,"Animals and/or mythical creatures, africa, egypt",English
10/13/2023 13:20:32,30007110002854,Animals and/or mythical creatures,"English, Spanish"
10/13/2023 13:21:34,30007040061334,Animals and/or mythical creatures,Spanish
10/13/2023 13:22:33,30007060535365,Animals and/or mythical creatures,"English, Spanish"
10/13/2023 13:22:55,30007060546958,Animals and/or mythical creatures,"English, Spanish"
10/13/2023 13:23:10,30007060535340,Animals and/or mythical creatures,"English, Spanish"
10/13/2023 13:23:35,30007060548020,Animals and/or mythical creatures,"English, Spanish"
10/13/2023 13:24:32,30405011901340,"Animals and/or mythical creatures, indigenous, latin america, peru","English, Spanish"
10/13/2023 13:26:31,30007060499166,"Race/Ethnicity, AAPI, arabic","English, Spanish"
10/13/2023 13:26:51,30007060509147,"indigenous, latin america, peru","English, Spanish"
10/13/2023 13:27:42,30007060206165,"Animals and/or mythical creatures, indigenous, latin america, mexico, maya","English, Spanish"
10/13/2023 13:28:56,30405013308841,"Animals and/or mythical creatures, indigenous, latin america, mexico, maya",Spanish
10/13/2023 13:30:06,30007060389052,"indigenous, latin america","English, Spanish"
10/13/2023 13:31:26,30007110002505,"AAPI, japan",Spanish
10/13/2023 13:31:55,30405012572256,"Religion, Animals and/or mythical creatures, christian","English, Spanish"
10/13/2023 13:33:16,30007060547352,"Race/Ethnicity, indigenous, latin america, brazil",Spanish
10/13/2023 13:33:50,30007060539417,"Race/Ethnicity, latin america","English, Spanish"
10/13/2023 13:34:33,30007060535332,Animals and/or mythical creatures,"English, Spanish"
10/13/2023 13:35:35,30007060547931,"Animals and/or mythical creatures, indigenous",Spanish
10/13/2023 13:36:53,30405013243873,Animals and/or mythical creatures,Spanish
10/13/2023 13:38:08,30007060448551,,"English, Spanish"
10/13/2023 13:39:03,30007060478822,"Animals and/or mythical creatures, indigenous, pawnee","English, Spanish"
10/13/2023 13:39:31,30007060443958,,Spanish
10/13/2023 14:04:22,30007060313763,"Race/Ethnicity, latin america","English, Spanish"
10/13/2023 14:05:05,30005070080349,"Race/Ethnicity, latin america, mexico","English, Spanish"
10/20/2023 9:08:09,30007060246245,"Race/Ethnicity, AAPI, china",English
10/20/2023 9:15:35,30007060043493,,English
10/20/2023 9:16:31,30007110005370,Animals and/or mythical creatures,English
10/20/2023 9:18:14,30007110002796,"Race/Ethnicity, africa, liberia",English
10/20/2023 9:18:41,30405020230079,Animals and/or mythical creatures,English
10/20/2023 9:20:28,30007060290128,,English
10/20/2023 9:21:31,30007110000958,"Animals and/or mythical creatures, africa, liberia",English
10/20/2023 9:22:56,30007110002859,"Animals and/or mythical creatures, africa, liberia",English
10/20/2023 9:24:43,30007110000943,,English
10/20/2023 9:25:06,30007110001301,,English
10/20/2023 9:25:28,30405040046737,,English
10/20/2023 9:26:28,30007110005134,Race/Ethnicity,English
10/20/2023 9:27:12,30007110003133,,English
10/20/2023 9:28:08,30007110005346,"Animals and/or mythical creatures, africa",English
10/20/2023 9:29:15,30007110003135,,English
10/20/2023 9:29:54,30007060407730,,English
10/20/2023 9:31:20,30007060082400,,English
10/20/2023 9:32:30,30007060181442,,English
10/20/2023 9:33:16,30007110001666,"Race/Ethnicity, AAPI, arabic",English
10/20/2023 9:33:53,30405000570924,Animals and/or mythical creatures,English
10/20/2023 9:36:44,30007060649364,"Race/Ethnicity, AAPI, philippines",English
10/20/2023 9:37:45,30405012727009,"Animals and/or mythical creatures, indigenous, northwest",English
10/20/2023 9:39:03,30007110003032,"Animals and/or mythical creatures, latin america",English
10/20/2023 9:39:59,30007090136556,Animals and/or mythical creatures,English
10/20/2023 9:40:54,30007060649463,"Race/Ethnicity, AAPI, philippines",English
10/20/2023 9:41:59,30405011996621,"Race/Ethnicity, multicultural",English
10/20/2023 9:42:42,30405020242702,"Race/Ethnicity, multicultural",English
10/20/2023 9:43:37,30007110002443,Animals and/or mythical creatures,English
10/20/2023 9:44:26,30007060082418,"Race/Ethnicity, latin america, black, caribbean",English
10/20/2023 9:45:23,30007060046413,,English
10/20/2023 9:46:07,30007060082640,"Race/Ethnicity, AAPI, japan",English
10/20/2023 9:46:52,30405012144197,,English
10/20/2023 9:47:42,30405001531602,,English
10/20/2023 9:48:42,30405001531602,,English
10/20/2023 9:49:30,30405011874968,"Race/Ethnicity, indigenous, eskimo",English
10/20/2023 9:50:26,30405012308123,"Race/Ethnicity, indigenous, ojibwe",English
10/20/2023 9:50:50,30405012193996,,English
10/20/2023 9:51:14,30405010257389,,English
10/20/2023 9:51:37,30007090138156,,English
10/20/2023 9:52:00,30405012950791,Animals and/or mythical creatures,English
10/20/2023 9:52:45,30007090131581,Animals and/or mythical creatures,English
10/20/2023 9:54:18,30007110000051,,English
10/20/2023 9:56:33,30405012311820,,English
10/20/2023 9:58:30,30007060408043,"Race/Ethnicity, AAPI, arabic",English
10/20/2023 9:58:52,30007060132734,Animals and/or mythical creatures,English
10/20/2023 9:59:49,30007060082657,"indigenous, iroqouis",English
10/20/2023 10:00:16,30405001570741,,English
10/20/2023 10:00:55,30007110005955,"Race/Ethnicity, latin america, caribbean",English
10/20/2023 10:01:42,30405010257140,,English
10/20/2023 10:01:56,30405020099359,,English
10/20/2023 10:02:27,30007110002340,Animals and/or mythical creatures,English
